"Source:","C:\Users\Florian\Documents\dev\stomp\fuzz_factory_mod\cad\fuzz_factory_mod\fuzz_factory_mod.sch"
"Date:","13/06/2020 12:42:10"
"Tool:","Eeschema (5.1.4)-1"
"Generator:","C:\dev\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","376"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Supplier reference"
"","","R1621","0","Device:R","Resistors_SMD:R_0603","~",""
"","","R1622","0","Device:R","Resistors_SMD:R_0603","~",""
"","","R1623","0","Device:R","Resistors_SMD:R_0603","~",""
"","","R1624","0","Device:R","Resistors_SMD:R_0603","~",""
"","","R1625","0","Device:R","Resistors_SMD:R_0603","~",""
"","","R1626","0","Device:R","Resistors_SMD:R_0603","~",""
"","","R1627","1M","Device:R","Resistors_SMD:R_0603","~",""
"","","R1628","1M","Device:R","Resistors_SMD:R_0603","~",""
"","","R1629","3k9","Device:R","Resistors_SMD:R_0603","~",""
"","","R1630","3k9","Device:R","Resistors_SMD:R_0603","~",""
"","","R1631","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1632","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1701","1M","Device:R","Resistors_SMD:R_0603","~",""
"","","R1702","1M","Device:R","Resistors_SMD:R_0603","~",""
"","","R1703","1k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1704","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1705","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1706","100k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1707","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1708","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1709","100k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1710","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1711","10k","Device:R","Resistors_SMD:R_0805","~",""
"","","R1712","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1713","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1714","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1715","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1716","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1819","1k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1820","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1821","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1822","100k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1823","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1824","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1825","100k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1826","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1827","10k","Device:R","Resistors_SMD:R_0805","~",""
"","","R1828","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1829","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1830","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1831","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1832","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1909","4k7","Device:R","Resistors_SMD:R_0603","~",""
"","","R1910","4k7","Device:R","Resistors_SMD:R_0603","~",""
"","","R1911","4k7","Device:R","Resistors_SMD:R_0603","~",""
"","","R1912","4k7","Device:R","Resistors_SMD:R_0603","~",""
